studyName	Sample Number	Species	Region	Island	Stage	Individual ID	Clutch Completion	Date Egg	Culmen Length (mm)	Culmen Depth (mm)	Flipper Length (mm)	Body Mass (g)	Sex
PAL0708	27	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N17A1	Yes	12/11/2007	40.6	18.6	183	3550	MALE
PAL0708	28	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N17A2	Yes	12/11/2007	40.5	17.9	187	3200	FEMALE
PAL0708	29	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N18A1	No	10/11/2007	37.9	18.6	172	3150	FEMALE
PAL0708	30	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N18A2	No	10/11/2007	40.5	18.9	180	3950	MALE
PAL0708	31	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N21A1	Yes	09/11/2007	39.5	16.7	178	3250	FEMALE
PAL0708	32	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N21A2	Yes	09/11/2007	37.2	18.1	178	3900	MALE
PAL0708	33	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N22A1	Yes	09/11/2007	39.5	17.8	188	3300	FEMALE
PAL0708	34	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N22A2	Yes	09/11/2007	40.9	18.9	184	3900	MALE
PAL0708	35	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N23A1	Yes	16/11/2007	36.4	17	195	3325	FEMALE
PAL0708	36	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N23A2	Yes	16/11/2007	39.2	21.1	196	4150	MALE
PAL0708	37	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N24A1	Yes	16/11/2007	38.8	20	190	3950	MALE
PAL0708	38	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N24A2	Yes	16/11/2007	42.2	18.5	180	3550	FEMALE
PAL0708	39	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N25A1	No	13/11/2007	37.6	19.3	181	3300	FEMALE
PAL0708	40	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N25A2	No	13/11/2007	39.8	19.1	184	4650	MALE
PAL0708	41	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N26A1	Yes	16/11/2007	36.5	18	182	3150	FEMALE
PAL0708	42	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N26A2	Yes	16/11/2007	40.8	18.4	195	3900	MALE
PAL0708	43	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N27A1	Yes	19/11/2007	36	18.5	186	3100	FEMALE
PAL0708	44	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N27A2	Yes	19/11/2007	44.1	19.7	196	4400	MALE
PAL0708	45	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N28A1	Yes	16/11/2007	37	16.9	185	3000	FEMALE
PAL0708	46	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N28A2	Yes	16/11/2007	39.6	18.8	190	4600	MALE
PAL0708	47	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N29A1	Yes	13/11/2007	41.1	19	182	3425	MALE
PAL0708	48	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N29A2	Yes	13/11/2007	37.5	18.9	179	2975	NA
PAL0708	49	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N30A1	Yes	13/11/2007	36	17.9	190	3450	FEMALE
PAL0708	50	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N30A2	Yes	13/11/2007	42.3	21.2	191	4150	MALE
PAL0809	51	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N21A1	Yes	06/11/2008	39.6	17.7	186	3500	FEMALE
PAL0809	52	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N21A2	Yes	06/11/2008	40.1	18.9	188	4300	MALE
PAL0809	53	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N22A1	Yes	09/11/2008	35	17.9	190	3450	FEMALE
PAL0809	54	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N22A2	Yes	09/11/2008	42	19.5	200	4050	MALE
PAL0809	55	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N23A1	Yes	09/11/2008	34.5	18.1	187	2900	FEMALE
PAL0809	56	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N23A2	Yes	09/11/2008	41.4	18.6	191	3700	MALE
PAL0809	57	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N24A1	Yes	15/11/2008	39	17.5	186	3550	FEMALE
PAL0809	58	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N24A2	Yes	15/11/2008	40.6	18.8	193	3800	MALE
PAL0809	59	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N25A1	Yes	15/11/2008	36.5	16.6	181	2850	FEMALE
PAL0809	60	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N25A2	Yes	15/11/2008	37.6	19.1	194	3750	MALE
PAL0809	61	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N27A1	Yes	13/11/2008	35.7	16.9	185	3150	FEMALE
PAL0809	62	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N27A2	Yes	13/11/2008	41.3	21.1	195	4400	MALE
PAL0809	63	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N28A1	Yes	13/11/2008	37.6	17	185	3600	FEMALE
PAL0809	64	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N28A2	Yes	13/11/2008	41.1	18.2	192	4050	MALE
PAL0809	65	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N29A1	Yes	13/11/2008	36.4	17.1	184	2850	FEMALE
PAL0809	66	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N29A2	Yes	13/11/2008	41.6	18	192	3950	MALE
PAL0809	67	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N30A1	Yes	06/11/2008	35.5	16.2	195	3350	FEMALE
PAL0809	68	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N30A2	Yes	06/11/2008	41.1	19.1	188	4100	MALE
PAL0809	69	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N32A1	No	11/11/2008	35.9	16.6	190	3050	FEMALE
PAL0809	70	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N32A2	No	11/11/2008	41.8	19.4	198	4450	MALE
PAL0809	71	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N34A1	Yes	14/11/2008	33.5	19	190	3600	FEMALE
PAL0809	72	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N34A2	Yes	14/11/2008	39.7	18.4	190	3900	MALE
PAL0809	73	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N35A1	Yes	11/11/2008	39.6	17.2	196	3550	FEMALE
PAL0809	74	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N35A2	Yes	11/11/2008	45.8	18.9	197	4150	MALE
PAL0809	75	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N36A1	Yes	08/11/2008	35.5	17.5	190	3700	FEMALE
PAL0809	76	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N36A2	Yes	08/11/2008	42.8	18.5	195	4250	MALE
PAL0809	77	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N37A1	Yes	06/11/2008	40.9	16.8	191	3700	FEMALE
PAL0809	78	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N37A2	Yes	06/11/2008	37.2	19.4	184	3900	MALE
PAL0809	79	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N38A1	Yes	09/11/2008	36.2	16.1	187	3550	FEMALE
PAL0809	80	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N38A2	Yes	09/11/2008	42.1	19.1	195	4000	MALE
PAL0809	81	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N39A1	Yes	02/11/2008	34.6	17.2	189	3200	FEMALE
PAL0809	82	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N39A2	Yes	02/11/2008	42.9	17.6	196	4700	MALE
PAL0809	83	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N40A1	Yes	07/11/2008	36.7	18.8	187	3800	FEMALE
PAL0809	84	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N40A2	Yes	07/11/2008	35.1	19.4	193	4200	MALE
PAL0809	85	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N41A1	Yes	17/11/2008	37.3	17.8	191	3350	FEMALE
PAL0809	86	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N41A2	Yes	17/11/2008	41.3	20.3	194	3550	MALE
PAL0809	87	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N42A1	Yes	08/11/2008	36.3	19.5	190	3800	MALE
PAL0809	88	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N42A2	Yes	08/11/2008	36.9	18.6	189	3500	FEMALE
PAL0809	89	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N44A1	Yes	08/11/2008	38.3	19.2	189	3950	MALE
PAL0809	90	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N44A2	Yes	08/11/2008	38.9	18.8	190	3600	FEMALE
PAL0809	91	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N45A1	Yes	14/11/2008	35.7	18	202	3550	FEMALE
PAL0809	92	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N45A2	Yes	14/11/2008	41.1	18.1	205	4300	MALE
PAL0809	93	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N46A1	Yes	05/11/2008	34	17.1	185	3400	FEMALE
PAL0809	94	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N46A2	Yes	05/11/2008	39.6	18.1	186	4450	MALE
PAL0809	95	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N48A1	Yes	17/11/2008	36.2	17.3	187	3300	FEMALE
PAL0809	96	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N48A2	Yes	17/11/2008	40.8	18.9	208	4300	MALE
PAL0809	97	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N49A1	Yes	08/11/2008	38.1	18.6	190	3700	FEMALE
PAL0809	98	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N49A2	Yes	08/11/2008	40.3	18.5	196	4350	MALE
PAL0809	99	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N50A1	Yes	10/11/2008	33.1	16.1	178	2900	FEMALE
PAL0809	100	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N50A2	Yes	10/11/2008	43.2	18.5	192	4100	MALE
PAL0910	101	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N47A1	Yes	09/11/2009	35	17.9	192	3725	FEMALE
PAL0910	102	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N47A2	Yes	09/11/2009	41	20	203	4725	MALE
PAL0910	103	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N49A1	Yes	15/11/2009	37.7	16	183	3075	FEMALE
PAL0910	104	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N49A2	Yes	15/11/2009	37.8	20	190	4250	MALE
PAL0910	105	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N51A1	Yes	15/11/2009	37.9	18.6	193	2925	FEMALE
PAL0910	106	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N51A2	Yes	15/11/2009	39.7	18.9	184	3550	MALE
PAL0910	107	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N53A1	Yes	15/11/2009	38.6	17.2	199	3750	FEMALE
PAL0910	108	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N53A2	Yes	15/11/2009	38.2	20	190	3900	MALE
PAL0910	109	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N55A1	Yes	20/11/2009	38.1	17	181	3175	FEMALE
PAL0910	110	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N55A2	Yes	20/11/2009	43.2	19	197	4775	MALE
PAL0910	111	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N58A1	Yes	12/11/2009	38.1	16.5	198	3825	FEMALE
PAL0910	112	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N58A2	Yes	12/11/2009	45.6	20.3	191	4600	MALE
PAL0910	113	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N60A1	Yes	15/11/2009	39.7	17.7	193	3200	FEMALE
PAL0910	114	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N60A2	Yes	15/11/2009	42.2	19.5	197	4275	MALE
PAL0910	115	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N61A1	Yes	17/11/2009	39.6	20.7	191	3900	FEMALE
PAL0910	116	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N61A2	Yes	17/11/2009	42.7	18.3	196	4075	MALE
PAL0910	117	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N63A1	Yes	18/11/2009	38.6	17	188	2900	FEMALE
PAL0910	118	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N63A2	Yes	18/11/2009	37.3	20.5	199	3775	MALE
PAL0910	119	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N64A1	Yes	22/11/2009	35.7	17	189	3350	FEMALE
PAL0910	120	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N64A2	Yes	22/11/2009	41.1	18.6	189	3325	MALE
PAL0910	121	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N66A1	No	17/11/2009	36.2	17.2	187	3150	FEMALE
PAL0910	122	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N66A2	No	17/11/2009	37.7	19.8	198	3500	MALE
PAL0910	123	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N67A1	Yes	16/11/2009	40.2	17	176	3450	FEMALE
PAL0910	124	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N67A2	Yes	16/11/2009	41.4	18.5	202	3875	MALE
PAL0910	125	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N69A1	Yes	18/11/2009	35.2	15.9	186	3050	FEMALE
PAL0910	126	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N69A2	Yes	18/11/2009	40.6	19	199	4000	MALE
PAL0910	127	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N71A1	Yes	21/11/2009	38.8	17.6	191	3275	FEMALE
PAL0910	128	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N71A2	Yes	21/11/2009	41.5	18.3	195	4300	MALE
PAL0910	129	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N72A1	Yes	18/11/2009	39	17.1	191	3050	FEMALE
PAL0910	130	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N72A2	Yes	18/11/2009	44.1	18	210	4000	MALE
PAL0910	131	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N73A1	No	23/11/2009	38.5	17.9	190	3325	FEMALE
PAL0910	132	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N73A2	No	23/11/2009	43.1	19.2	197	3500	MALE
PAL0910	133	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N76A1	Yes	10/11/2009	36.8	18.5	193	3500	FEMALE
PAL0910	134	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N76A2	Yes	10/11/2009	37.5	18.5	199	4475	MALE
PAL0910	135	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N77A1	Yes	13/11/2009	38.1	17.6	187	3425	FEMALE
PAL0910	136	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N77A2	Yes	13/11/2009	41.1	17.5	190	3900	MALE
PAL0910	137	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N78A1	Yes	16/11/2009	35.6	17.5	191	3175	FEMALE
PAL0910	138	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N78A2	Yes	16/11/2009	40.2	20.1	200	3975	MALE
PAL0910	139	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N79A1	No	16/11/2009	37	16.5	185	3400	FEMALE
PAL0910	140	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N79A2	No	16/11/2009	39.7	17.9	193	4250	MALE
PAL0910	141	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N80A1	Yes	14/11/2009	40.2	17.1	193	3400	FEMALE
PAL0910	142	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N80A2	Yes	14/11/2009	40.6	17.2	187	3475	MALE
PAL0910	143	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N81A1	Yes	16/11/2009	32.1	15.5	188	3050	FEMALE
PAL0910	144	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N81A2	Yes	16/11/2009	40.7	17	190	3725	MALE
PAL0910	145	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N82A1	Yes	16/11/2009	37.3	16.8	192	3000	FEMALE
PAL0910	146	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N82A2	Yes	16/11/2009	39	18.7	185	3650	MALE
PAL0910	147	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N83A1	Yes	13/11/2009	39.2	18.6	190	4250	MALE
PAL0910	148	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N83A2	Yes	13/11/2009	36.6	18.4	184	3475	FEMALE
PAL0910	149	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N84A1	Yes	17/11/2009	36	17.8	195	3450	FEMALE
PAL0910	150	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N84A2	Yes	17/11/2009	37.8	18.1	193	3750	MALE
PAL0910	151	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N85A1	Yes	17/11/2009	36	17.1	187	3700	FEMALE
PAL0910	152	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	"Adult, 1 Egg Stage"	N85A2	Yes	17/11/2009	41.5	18.5	201	4000	MALE
PAL0708	1	Gentoo penguin (Pygoscelis papua)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N31A1	Yes	27/11/2007	46.1	13.2	211	4500	FEMALE
PAL0708	2	Gentoo penguin (Pygoscelis papua)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N31A2	Yes	27/11/2007	50	16.3	230	5700	MALE
