studyName,Individual ID,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments
PAL0809,N19A1,8.6287000000000003,-26.604839999999999,NA
PAL0809,N19A2,8.4966200000000001,-26.841660000000001,NA
PAL0809,N20A1,8.6044699999999992,-26.616009999999999,NA
PAL0809,N20A2,8.4706700000000001,-26.691659999999999,NA
PAL0809,N51A1,8.2425300000000004,-26.8154,Sexing primers did not amplify.
PAL0809,N51A2,8.4985400000000002,-26.748090000000001,NA
PAL0809,N53A1,8.6493099999999998,-26.688669999999998,NA
PAL0809,N53A2,8.63551,-26.74249,NA
PAL0809,N54A1,8.5301799999999997,-26.727509999999999,NA
PAL0809,N54A2,8.3507800000000003,-26.707830000000001,NA
PAL0809,N55A1,8.2465100000000007,-26.66958,NA
PAL0809,N55A2,8.5848700000000004,-26.5929,NA
PAL0809,N56A1,8.4793800000000008,-26.954699999999999,NA
PAL0809,N56A2,8.5963999999999992,-26.71199,NA
PAL0809,N58A1,8.3929899999999993,-26.787330000000001,NA
PAL0809,N58A2,8.4032699999999991,-26.76821,NA
PAL0809,N60A1,8.2469400000000004,-26.653590000000001,NA
PAL0809,N60A2,8.1974900000000002,-26.659310000000001,NA
PAL0910,N1A1,8.3580199999999998,-26.276599999999998,NA
PAL0910,N1A2,8.2860099999999992,-26.275729999999999,NA
PAL0910,N6A1,8.1910100000000003,-26.243690000000001,NA
PAL0910,N6A2,8.2004199999999994,-26.39677,NA
PAL0910,N8A1,8.1123799999999999,-26.203720000000001,NA
PAL0910,N8A2,8.2742799999999992,-26.300190000000001,NA
PAL0910,N13A1,8.2346800000000009,-26.18599,NA
PAL0910,N13A2,8.1542600000000007,-26.343299999999999,NA
PAL0910,N14A1,8.1269100000000005,-26.236129999999999,NA
PAL0910,N14A2,8.2759499999999999,-26.116569999999999,NA
PAL0910,N15A1,8.2967099999999991,-26.085470000000001,NA
PAL0910,N15A2,8.3670100000000005,-25.898340000000001,NA
PAL0910,N18A1,8.1556599999999992,-26.228480000000001,NA
PAL0910,N18A2,8.83352,-25.691949999999999,NA
PAL0910,N19A1,8.20106,-26.165240000000001,NA
PAL0910,N19A2,8.27102,-26.112439999999999,NA
PAL0910,N20A1,8.0362399999999994,-26.065940000000001,NA
PAL0910,N20A2,7.8880999999999997,-26.047260000000001,NA
PAL0910,N21A1,8.1658200000000001,-26.139710000000001,NA
PAL0910,N21A2,8.2065999999999999,-26.36863,NA
PAL0910,N22A1,8.1023099999999992,-26.187629999999999,NA
PAL0910,N22A2,8.3117999999999999,-26.35425,NA
PAL0910,N23A1,8.3081700000000005,-26.21651,NA
PAL0910,N23A2,8.6591400000000007,-25.79203,NA
PAL0910,N24A1,8.2581799999999994,-26.238859999999999,Sexing primers did not amplify.
PAL0910,N24A2,8.3235899999999994,-26.057559999999999,NA
PAL0910,N28A1,8.1231100000000005,-26.448149999999998,NA
PAL0910,N28A2,8.4101700000000008,-26.33867,NA
PAL0910,N29A1,8.4207000000000001,-26.38092,NA
PAL0910,N29A2,8.4573800000000006,-26.22664,NA
PAL0910,N32A1,8.2469099999999997,-26.184660000000001,NA
PAL0910,N32A2,8.2922600000000006,-26.210190000000001,NA
PAL0910,N34A1,8.2163400000000006,-26.11046,NA
PAL0910,N34A2,8.7855699999999999,-25.761469999999999,NA
PAL0910,N35A1,8.3023100000000003,-25.960129999999999,NA
PAL0910,N35A2,8.0835399999999993,-26.181609999999999,NA
PAL0910,N36A1,8.0411099999999998,-26.184439999999999,Sexing primers did not amplify.
PAL0910,N36A2,8.3382500000000004,-25.885470000000002,NA
PAL0910,N38A1,7.9918399999999998,-26.205380000000002,Nest never observed with full clutch.
PAL0910,N38A2,NA,NA,Adult not sampled. Nest never observed with full clutch.
PAL0910,N39A1,8.4115099999999998,-26.13832,NA
PAL0910,N39A2,8.30166,-26.041170000000001,NA
PAL0910,N43A1,8.2424599999999995,-26.119689999999999,NA
PAL0910,N43A2,8.3638999999999992,-26.15531,NA
PAL0708,N61A1,9.0393500000000007,-24.302289999999999,Nest never observed with full clutch.
PAL0708,N61A2,8.9206900000000005,-24.23592,Nest never observed with full clutch.
PAL0708,N62A1,9.2907799999999998,-24.755700000000001,NA
PAL0708,N62A2,8.6470099999999999,-24.62717,NA
PAL0708,N64A1,9.0064200000000003,-24.618670000000002,NA
PAL0708,N64A2,8.8894199999999994,-24.494330000000001,NA
PAL0708,N66A1,8.8566400000000005,-24.556439999999998,NA
PAL0708,N66A2,8.6370100000000001,-24.840589999999999,NA
PAL0708,N67A1,8.4717300000000009,-24.292290000000001,NA
PAL0708,N67A2,8.7958099999999995,-24.360880000000002,NA
PAL0708,N68A1,8.9506300000000003,-24.598970000000001,NA
PAL0708,N68A2,8.6874699999999994,-24.387509999999999,NA
PAL0708,N69A1,8.7203700000000008,-24.805260000000001,NA
PAL0708,N69A2,9.0233000000000008,-24.389330000000001,NA
PAL0708,N70A1,9.1227699999999992,-24.90024,NA
PAL0708,N70A2,9.8058999999999994,-24.729399999999998,NA
PAL0708,N71A1,10.020189999999999,-24.547039999999999,Nest never observed with full clutch.
PAL0708,N71A2,9.1438199999999998,-24.579940000000001,Nest never observed with full clutch.
PAL0708,N72A1,9.3210499999999996,-24.64162,NA
PAL0708,N72A2,9.2715800000000002,-24.643350000000002,NA
PAL0708,N73A1,9.3513800000000007,-24.687899999999999,NA
PAL0708,N73A2,9.42666,-24.263750000000002,NA
PAL0708,N85A1,9.3541600000000003,-25.011849999999999,Nest never observed with full clutch.
PAL0708,N85A2,9.2815300000000001,-24.971340000000001,Nest never observed with full clutch.
PAL0708,N89A1,9.7414400000000008,-24.594670000000001,Nest never observed with full clutch.
PAL0708,N89A2,9.3679900000000007,-24.471419999999998,Nest never observed with full clutch.
PAL0809,N61A1,8.9398999999999997,-23.890170000000001,Nest never observed with full clutch.
PAL0809,N61A2,9.6307399999999994,-24.34684,Nest never observed with full clutch.
PAL0809,N62A1,9.3736899999999999,-24.528960000000001,NA
PAL0809,N62A2,9.2517700000000005,-24.696380000000001,NA
PAL0809,N63A1,9.0845800000000008,-24.549029999999998,NA
PAL0809,N63A2,9.4928299999999997,-24.599959999999999,NA
PAL0809,N65A1,9.3666800000000006,-24.45195,NA
PAL0809,N65A2,9.2319600000000008,-24.172820000000002,NA
PAL0809,N67A1,9.7548600000000008,-24.311979999999998,NA
PAL0809,N67A2,9.0782500000000006,-25.145499999999998,NA
PAL0809,N69A1,8.8350200000000001,-24.65859,NA
PAL0809,N69A2,9.4314599999999995,-24.6844,NA
PAL0809,N72A1,9.8058899999999998,-24.737349999999999,Nest never observed with full clutch.
PAL0809,N72A2,10.02544,-24.908159999999999,Nest never observed with full clutch.
PAL0809,N74A1,9.5326199999999996,-24.668669999999999,NA
PAL0809,N74A2,9.6173400000000004,-24.66188,NA
PAL0809,N75A1,10.023720000000001,-24.865939999999998,NA
PAL0809,N75A2,9.3649299999999993,-24.662590000000002,NA
PAL0910,N86A1,9.4368400000000001,-24.165659999999999,NA
PAL0910,N86A2,9.4582700000000006,-24.35575,NA
PAL0910,N87A1,9.4681899999999999,-24.45721,NA
PAL0910,N87A2,9.3408899999999999,-24.451889999999999,NA
PAL0910,N88A1,9.6895000000000007,-24.430620000000001,NA
PAL0910,N88A2,9.3216900000000003,-24.415620000000001,NA
PAL0910,N90A1,9.4692900000000009,-24.484030000000001,NA
PAL0910,N90A2,9.4378200000000003,-24.362020000000001,NA
PAL0910,N92A1,9.4149999999999991,-24.805,NA
PAL0910,N92A2,9.9372699999999998,-24.59066,NA
PAL0910,N93A1,9.5653400000000008,-24.608820000000001,NA
PAL0910,N93A2,9.7752800000000004,-24.564810000000001,NA
PAL0910,N94A1,9.6235700000000008,-24.789840000000002,NA
PAL0910,N94A2,9.88809,-24.595130000000001,NA
PAL0910,N95A1,9.7449200000000005,-24.404,NA
PAL0910,N95A2,9.4698499999999992,-24.657859999999999,NA
PAL0910,N96A1,NA,-23.787669999999999,No delta15N data received from lab.
PAL0910,N96A2,9.6506100000000004,-24.481529999999999,NA
PAL0910,N98A1,9.2671500000000009,-24.319120000000002,NA
PAL0910,N98A2,9.7046500000000009,-24.534939999999999,NA
PAL0910,N99A1,9.37608,-24.407530000000001,Nest never observed with full clutch.
PAL0910,N99A2,9.4618000000000002,-24.706150000000001,Nest never observed with full clutch.
PAL0910,N100A1,9.9804399999999998,-24.68741,NA
PAL0910,N100A2,9.3930500000000006,-24.252549999999999,NA
